,Preço,Detalhes,Link
13,"R$ 120.000,00 "," Sala 63,10 m², 01 banheiro, 01 copa (ou depósito). 
Em cima da Rosa de Sarom. ",http://www.habitar.imb.br/imoveis/736099/sala-comercial-centro
14,"R$ 1.400.000,00 "," TRÊS SUÍTES.
DUAS VAGAS INDIVIDUAIS COM DEPÓSITO.
SALÃO DE FESTAS, PLAYGROUND. ",http://www.habitar.imb.br/imoveis/733898/residencial-sigma
15,"R$ 1.600.000,00 "," ALTO PADRÃO DE ACABAMENTO.
TRÊS SUÍTES.
QUATRO VAGAS DE GARAGEM, DEPÓSITO. ",http://www.habitar.imb.br/imoveis/733892/residencial-taurus
16,"R$ 790,00 ", Sala comercial localizada no Bairro La Salle  com 56m².  ,http://www.habitar.imb.br/imoveis/733728/sala-comercial-bairro-la-salle
17,"R$ 2.800,00 "," Sala comercial com área total de 185m², com possibilidade de dividir em 02 ambientes;
 ",http://www.habitar.imb.br/imoveis/725409/sala-comercial-bairro-sao-francisco
18,"R$ 800,00 ", Sala comercial localizada na avenida Tupi. ,http://www.habitar.imb.br/imoveis/724954/sala-comencial-403-edificio-center-ville
19,"R$ 8.000,00 ", Barracão com piso usinado localizado na PR 280 ao lado da Cantu ,http://www.habitar.imb.br/imoveis/723703/barracao-pr-280
20,R$ Consulte Valor ," RESIDENCIAL ESMERALDA.
RUA ITABIRA ESQUINA COM ITAPUÃ.
APARTAMENTOS COM SUÍTE MAIS DOIS QUARTOS E 
APARTAMENTOS COM SUÍTE MAIS UM QUARTO.
PRAZO DE ENTREGA 31/12/2021. ",http://www.habitar.imb.br/imoveis/720886/esmeralda
21,R$ Consulte Valor ," LANÇAMENTO!!!
RESIDENCIAL TOPÁZIO.
STUDIOS COM UM QUARTO, E SUÍTE MAIS UM QUARTO.
RUA ITABIRA, ENTRE AVENIDA TUPI E  RUA TAPAJÓS ",http://www.habitar.imb.br/imoveis/720884/topazio
22,R$ Consulte Valor ," TERRENO BAIRRO PINHEIROS COM 2.007,00 M², SENDO 31,10 METROS DE FRENTE PARA A RUA EPITÁCIO PESSOA.
PLANO, PRONTO PARA CONSTRUIR. ",http://www.habitar.imb.br/imoveis/720297/terreno-pinheiros
23,"R$ 3.000,00 "," Casa com quatro quartos, 02 salas, ampla cozinha com copa, armarios, 2 vagas de garagem. ",http://www.habitar.imb.br/imoveis/720020/casa-vila-isabel
24,R$ Consulte Valor ," CASA SEMI NOVA. 
ÁREA TOTAL DE 363,00 M² E TERRENO COM 766,00 M².
COM TRÊS SUÍTES, SALÃO DE FESTAS, PISO AQUECIDO. ",http://www.habitar.imb.br/imoveis/711325/casa-bairro-cadorin
25,"R$ 165.340,00 "," TERRENO LOTEAMENTO SIENA - FRARON
ÁREA DE 472,40 M² - DE ESQUINA.
(16,00 x 30,00) ",http://www.habitar.imb.br/imoveis/710897/loteamento-siena---fraron
26,"R$ 127.920,00 "," TERRENO LOTEAMENTO SIENA - FRARON
ÁREA DE 390,00 M² (13,00 x 30,00 m) ",http://www.habitar.imb.br/imoveis/710895/loteamento-siena---fraron
27,"R$ 179.088,00 "," TERRENO LOTEAMENTO SIENA - FRARON
COM 546,00 M² (13,00 x 42,00) ",http://www.habitar.imb.br/imoveis/710894/loteamento-siena---fraron
28,"R$ 129.920,00 "," TERRENO LOTEAMENTO PELOSO
ÁREA DE 406,00 M² (14,00 x 29,00 m)
ACIMA DO NÍVEL DA RUA, PRONTO PARA CONSTRUIR. ",http://www.habitar.imb.br/imoveis/710892/terreno-peloso
29,"R$ 125.673,00 "," TERRENO LOTEAMENTO PELOSO, ACIMA DO NÍVEL DA RUA.
COM 392,73 M². (14,00 x 28,05 m) ",http://www.habitar.imb.br/imoveis/710890/terreno-peloso
30,"R$ 350.000,00 "," TERRENO LOTEAMENTO VÔ NINO.
COM 527,14 M².
 ",http://www.habitar.imb.br/imoveis/710889/loteamento-vo-nino
31,R$ Consulte Valor ," LÁPIS LAZULI - NO CORAÇÃO DA CIDADE.
APARTAMENTOS COM DOIS QUARTOS E  APARTAMENTOS COM SUÍTE MAIS DOIS QUARTOS.
SACADA COM CHURRASQUEIRA.
ENTREGA FINAL DE 2020 ",http://www.habitar.imb.br/imoveis/710686/lapis-lazuli
32,R$ Consulte Valor ," Terrenos no alto do Bairro Cadorin.
De 416,00 m² a 644,20 m².
Entrega de toda infraestrutura para final de 2020.
Parcelamento direto com a construtora sendo 20% de entrada e até 120 meses para pagar. ",http://www.habitar.imb.br/imoveis/709899/terrenos-loteamento-por-do-sol
33,"R$ 165.000,00 ", CASAS NOVAS NO LOTEAMENTO UNIVERSITÁRIO COM EXCELENTE PADRÃO DE ACABAMENTO. ,http://www.habitar.imb.br/imoveis/696120/casas-novas-universitario
34,"R$ 505.000,00 "," IMÓVEL DE ALTO PADRÃO COM 165,00m², 03 DORMITÓRIOS (UMA SUÍTE). ",http://www.habitar.imb.br/imoveis/694316/casa-parque-do-som
35,"R$ 720.000,00 "," SOBRADOS ALTO PADRÃO DE ACABAMENTO.
COM 169,00 M². SUÍTE MAIS DOIS QUARTOS.
DUAS VAGAS DE GARAGEM.
CHURRASQUEIRA. ",http://www.habitar.imb.br/imoveis/694313/sobrado-industrial-ii
36,"R$ 265.000,00 "," TERRENO COM 496,72M² SENDO 16,00M X 31,17M.
PLANO, PRONTO PARA CONSTRUIR, LINDA VISÃO DA CIDADE. ",http://www.habitar.imb.br/imoveis/693903/terreno-bairro-la-salle-picolo
37,"R$ 380.000,00 "," SOBRADO DE ALVENARIA COM ÁREA DE 220,00M².
LOCALIZAÇÃO EXCELENTE NO BAIRRO INDUSTRIAL.
TRÊS QUARTOS, DUAS VAGAS DE GARAGEM. ",http://www.habitar.imb.br/imoveis/693759/sobrado-bairro-industrial
38,"R$ 370.000,00 "," TERRENO NAS PROXIMIDADES DA RUA GUARANI, COM FRENTE PARA RUA JORGE LACERDA, ÁREA DE 560,00 M²   ",http://www.habitar.imb.br/imoveis/688545/terreno-proximidades-da-rua-guarani
39,"R$ 2.300.000,00 "," Chácara com 50.224m², localizada as margens da rodovia PR-280 próximo ao trevo da patrolinha, contendo diversas benfeitorias como: campo de futebol, 02 salões de de festas com churrasqueiras, casa do caseiro, pomar, lago, rua interna com calçamento. ",http://www.habitar.imb.br/imoveis/688532/chacara-lazer
